"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica","ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","Diagnóstico inicial planteado por el médico tratante basado en los signos, síntomas y antecedentes del paciente, que orienta las pruebas diagnósticas necesarias para confirmar o descartar la enfermedad sospechada. Esta hipótesis permite planificar el abordaje clínico mientras se espera el diagnóstico definitivo.","Diagnóstico inicial planteado por el médico tratante basado en los signos, síntomas y antecedentes del paciente, que orienta las pruebas diagnósticas necesarias para confirmar o descartar la enfermedad sospechada. Esta hipótesis permite planificar el abordaje clínico mientras se espera el diagnóstico definitivo.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.hipotesisDiagnostica",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante","ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Nombre del médico que genera la solicitud de biopsia.","Nombre del médico que genera la solicitud de biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.medicoSolicitante",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante","","","",1,1,"","","Y","string {[]} {[]}
","corresponde al número identificador único del profesional médico solicitante.","corresponde al número identificador único del profesional médico solicitante.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoSolicitante",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen","ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Location]]}
","Servicio clinico en el cual se encuentra el paciente, o al cual se le debe informar del resultado de esta biopsia.","Servicio clinico en el cual se encuentra el paciente, o al cual se le debe informar del resultado de esta biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.servicioClinicoDeOrigen",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen","ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Corresponde al establecimiento de origen de la toma de la muestra.","Corresponde al establecimiento de origen de la toma de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.establecimientoDeOrigen",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista","ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Nombre del médico que toma la muestra para la biopsia.","Nombre del médico que toma la muestra para la biopsia.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.medicoIntervencionista",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista","ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número identificador único del profesional médico intervencionista.","Corresponde al número identificador único del profesional médico intervencionista.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.rutMedicoIntervencionista",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde al día en que se extrajo el tejido o las células del paciente para ser analizadas en el laboratorio.","Corresponde al día en que se extrajo el tejido o las células del paciente para ser analizadas en el laboratorio.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeTomaDeMuestra",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra","ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde a la fecha de recepción de la muestra en el lugar de análisis.","Corresponde a la fecha de recepción de la muestra en el lugar de análisis.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.fechaDeRecepcionDeMuestra",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia","ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se define como la categorización del procedimiento empleado para la obtención del tejido, con base en su técnica, extensión y objetivo clínico","se define como la categorización del procedimiento empleado para la obtención del tejido, con base en su técnica, extensión y objetivo clínico","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.solicitud.tipoDeBiopsia",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma","ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization]]}
","Corresponde al establecimiento que informa el análisis de la muestra.","Corresponde al establecimiento que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.establecimientoQueInforma",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.patologoQueInforma","ModeloLogicoInformePatologicoR2BO.patologoQueInforma","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner]]}
","Corresponde al patólogo que informa el análisis de la muestra.","Corresponde al patólogo que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.patologoQueInforma",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma","ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma","","","",1,1,"","","Y","string {[]} {[]}
","Corresponde al número identificador único del profesional médico patólogo que informa el análisis de la muestra.","Corresponde al número identificador único del profesional médico patólogo que informa el análisis de la muestra.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.rutPatologoQueInforma",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.fechaDeInforme","ModeloLogicoInformePatologicoR2BO.fechaDeInforme","","","",1,1,"","","Y","dateTime {[]} {[]}
","Corresponde a la fecha en que se emite el informe con el resultado de la muestra analizada.","Corresponde a la fecha en que se emite el informe con el resultado de la muestra analizada.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.fechaDeInforme",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica","ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica","","","",1,1,"","","Y","string {[]} {[]}
","se refiere a la evaluación inicial que se realiza sobre la muestra de tejido sin el uso de un microscopio, detallando características visibles a simple vista. Esta fase incluye la observación del tamaño, forma, color, consistencia y cualquier anomalía notable del tejido","se refiere a la evaluación inicial que se realiza sobre la muestra de tejido sin el uso de un microscopio, detallando características visibles a simple vista. Esta fase incluye la observación del tamaño, forma, color, consistencia y cualquier anomalía notable del tejido","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.descripcionMacroscopica",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica","ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica","","","",0,1,"","","Y","string {[]} {[]}
","se refiere al análisis detallado de las células y tejidos de la muestra bajo el microscopio, después de haber sido procesada y teñida en el laboratorio de anatomía patológica. Este examen permite identificar cambios en la estructura celular y la arquitectura del tejido que puedan indicar enfermedades o condiciones anormales.","se refiere al análisis detallado de las células y tejidos de la muestra bajo el microscopio, después de haber sido procesada y teñida en el laboratorio de anatomía patológica. Este examen permite identificar cambios en la estructura celular y la arquitectura del tejido que puedan indicar enfermedades o condiciones anormales.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.descripcionMicroscopica",0,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.lateralidad","ModeloLogicoInformePatologicoR2BO.lateralidad","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refiere a la identificación del lado del cuerpo donde se tomó la muestra. Este término es relevante especialmente en órganos o estructuras pares, como mamas, riñones, pulmones, ovarios, o extremidades, para garantizar precisión en el diagnóstico y tratamiento.","se refiere a la identificación del lado del cuerpo donde se tomó la muestra. Este término es relevante especialmente en órganos o estructuras pares, como mamas, riñones, pulmones, ovarios, o extremidades, para garantizar precisión en el diagnóstico y tratamiento.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.lateralidad",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.detalleTopografia","ModeloLogicoInformePatologicoR2BO.detalleTopografia","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refiere a la descripción exacta de la localización del tumor dentro de la muestra de tejido extraída durante el procedimiento quirúrgico. Esta variable es fundamental en el informe de patología, ya que proporciona detalles sobre la relación del tumor con las estructuras adyacentes y su posición dentro del tejido extirpado.","se refiere a la descripción exacta de la localización del tumor dentro de la muestra de tejido extraída durante el procedimiento quirúrgico. Esta variable es fundamental en el informe de patología, ya que proporciona detalles sobre la relación del tumor con las estructuras adyacentes y su posición dentro del tejido extirpado.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.detalleTopografia",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.invasionVascularLinfatica","ModeloLogicoInformePatologicoR2BO.invasionVascularLinfatica","","","",1,1,"","","Y","boolean {[]} {[]}
","se refiere a la presencia de células tumorales dentro de los vasos linfáticos. Es un hallazgo importante en la anatomía patológica, especialmente en el diagnóstico y pronóstico de tumores malignos, ya que indica la capacidad del tumor de diseminarse a través del sistema linfático hacia ganglios linfáticos u otros órganos distantes","se refiere a la presencia de células tumorales dentro de los vasos linfáticos. Es un hallazgo importante en la anatomía patológica, especialmente en el diagnóstico y pronóstico de tumores malignos, ya que indica la capacidad del tumor de diseminarse a través del sistema linfático hacia ganglios linfáticos u otros órganos distantes","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.invasionVascularLinfatica",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.invasionVascularSanguinea","ModeloLogicoInformePatologicoR2BO.invasionVascularSanguinea","","","",1,1,"","","Y","boolean {[]} {[]}
","se refiere a la presencia de células tumorales dentro de los vasos sanguíneos, como venas, arterias o capilares. Es un hallazgo patológico significativo, ya que indica la capacidad del tumor de diseminarse por vía hematógena (a través del torrente sanguíneo), lo que puede dar lugar a metástasis en órganos distantes.","se refiere a la presencia de células tumorales dentro de los vasos sanguíneos, como venas, arterias o capilares. Es un hallazgo patológico significativo, ya que indica la capacidad del tumor de diseminarse por vía hematógena (a través del torrente sanguíneo), lo que puede dar lugar a metástasis en órganos distantes.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.invasionVascularSanguinea",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.infiltracionPerineural","ModeloLogicoInformePatologicoR2BO.infiltracionPerineural","","","",1,1,"","","Y","boolean {[]} {[]}
","es un término médico que describe la muerte de células o tejidos dentro del cuerpo como resultado de lesiones, infecciones, falta de suministro de sangre (isquemia) o daño tóxico. A nivel microscópico, la necrosis es un hallazgo frecuente en informes de biopsias, particularmente en el contexto de enfermedades inflamatorias, infecciosas y neoplásicas.","es un término médico que describe la muerte de células o tejidos dentro del cuerpo como resultado de lesiones, infecciones, falta de suministro de sangre (isquemia) o daño tóxico. A nivel microscópico, la necrosis es un hallazgo frecuente en informes de biopsias, particularmente en el contexto de enfermedades inflamatorias, infecciosas y neoplásicas.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.infiltracionPerineural",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.necrosis","ModeloLogicoInformePatologicoR2BO.necrosis","","","",1,1,"","","Y","integer {[]} {[]}
","es un término médico que describe la muerte de células o tejidos dentro del cuerpo como resultado de lesiones, infecciones, falta de suministro de sangre (isquemia) o daño tóxico. A nivel microscópico, la necrosis es un hallazgo frecuente en informes de biopsias, particularmente en el contexto de enfermedades inflamatorias, infecciosas y neoplásicas.","es un término médico que describe la muerte de células o tejidos dentro del cuerpo como resultado de lesiones, infecciones, falta de suministro de sangre (isquemia) o daño tóxico. A nivel microscópico, la necrosis es un hallazgo frecuente en informes de biopsias, particularmente en el contexto de enfermedades inflamatorias, infecciosas y neoplásicas.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.necrosis",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.infiltradoLinfocitarioPeritumoral","ModeloLogicoInformePatologicoR2BO.infiltradoLinfocitarioPeritumoral","","","",0,1,"","","Y","code {[]} {[]}
","es un término que describe la acumulación de linfocitos (un tipo de célula del sistema inmunológico) alrededor de un tumor, sin invadir directamente el tejido tumoral. Este hallazgo histopatológico es importante porque refleja la interacción entre el sistema inmunitario del paciente y el tumor, lo cual puede tener implicaciones diagnósticas, pronósticas y terapéuticas.","es un término que describe la acumulación de linfocitos (un tipo de célula del sistema inmunológico) alrededor de un tumor, sin invadir directamente el tejido tumoral. Este hallazgo histopatológico es importante porque refleja la interacción entre el sistema inmunitario del paciente y el tumor, lo cual puede tener implicaciones diagnósticas, pronósticas y terapéuticas.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.infiltradoLinfocitarioPeritumoral",0,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.tamanoTumoral","ModeloLogicoInformePatologicoR2BO.tamanoTumoral","","","",1,1,"","","Y","string {[]} {[]}
","se refiere a la dimensión máxima del tumor medido en la muestra de tejido o imagen y suele expresarse en milímetros o centímetros. En los informes de patología, el tamaño tumoral es una variable crítica, pues influye directamente en el estadiaje, el pronóstico y las decisiones de tratamiento del cáncer.","se refiere a la dimensión máxima del tumor medido en la muestra de tejido o imagen y suele expresarse en milímetros o centímetros. En los informes de patología, el tamaño tumoral es una variable crítica, pues influye directamente en el estadiaje, el pronóstico y las decisiones de tratamiento del cáncer.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.tamanoTumoral",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.nivelInfiltracion","ModeloLogicoInformePatologicoR2BO.nivelInfiltracion","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","describe la profundidad o extensión de un tumor dentro de los tejidos en los que ha comenzado a crecer y a invadir estructuras adyacentes. Este parámetro es fundamental en el diagnóstico y la estadificación de ciertos cánceres, pues indica cuán avanzado está el tumor en términos de invasión local. (solo para los órganos que tienen pared)","describe la profundidad o extensión de un tumor dentro de los tejidos en los que ha comenzado a crecer y a invadir estructuras adyacentes. Este parámetro es fundamental en el diagnóstico y la estadificación de ciertos cánceres, pues indica cuán avanzado está el tumor en términos de invasión local. (solo para los órganos que tienen pared)","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.nivelInfiltracion",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.focalidadMulticentricidad","ModeloLogicoInformePatologicoR2BO.focalidadMulticentricidad","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","son términos que se utilizan en el análisis de biopsias y en el diagnóstico de ciertos tipos de cáncer, especialmente en órganos como la mama, el hígado y los riñones, para describir la distribución y características del tumor en el tejido afectado.","son términos que se utilizan en el análisis de biopsias y en el diagnóstico de ciertos tipos de cáncer, especialmente en órganos como la mama, el hígado y los riñones, para describir la distribución y características del tumor en el tejido afectado.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.focalidadMulticentricidad",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.margenQuirurgicoMedida","ModeloLogicoInformePatologicoR2BO.margenQuirurgicoMedida","","","",1,1,"","","Y","Quantity {[]} {[]}
","se refieren a los bordes del tejido que rodea la lesión o tumor y que fue removido durante la biopsia. Estos se examinan para determinar si están libres de células tumorales (márgenes negativos) o si contienen células malignas (márgenes positivos). En esta variable determinar la extensión lineal del margen positivo o la distancia al margen cercano en milimetros.","se refieren a los bordes del tejido que rodea la lesión o tumor y que fue removido durante la biopsia. Estos se examinan para determinar si están libres de células tumorales (márgenes negativos) o si contienen células malignas (márgenes positivos). En esta variable determinar la extensión lineal del margen positivo o la distancia al margen cercano en milimetros.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.margenQuirurgicoMedida",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.margenQuirurgicoCategoria","ModeloLogicoInformePatologicoR2BO.margenQuirurgicoCategoria","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refieren a los bordes del tejido que rodea la lesión o tumor y que fue removido durante la biopsia. Estos se examinan para determinar si están libres de células tumorales (márgenes negativos) o si contienen células malignas (márgenes positivos). En esta variable determinar la extensión lineal del margen positivo o la distancia al margen cercano en milimetros.","se refieren a los bordes del tejido que rodea la lesión o tumor y que fue removido durante la biopsia. Estos se examinan para determinar si están libres de células tumorales (márgenes negativos) o si contienen células malignas (márgenes positivos). En esta variable determinar la extensión lineal del margen positivo o la distancia al margen cercano en milimetros.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.margenQuirurgicoCategoria",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.tejidoNoTumoralAdyacente","ModeloLogicoInformePatologicoR2BO.tejidoNoTumoralAdyacente","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","se refiere al tejido sano que rodea al tumor y no muestra signos de células malignas. En patología, el análisis del tejido no tumoral adyacente es importante para evaluar los efectos que el tumor puede haber causado en el entorno inmediato y para verificar que se ha obtenido una resección adecuada y libre de células tumorales.","se refiere al tejido sano que rodea al tumor y no muestra signos de células malignas. En patología, el análisis del tejido no tumoral adyacente es importante para evaluar los efectos que el tumor puede haber causado en el entorno inmediato y para verificar que se ha obtenido una resección adecuada y libre de células tumorales.","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.tejidoNoTumoralAdyacente",1,1,"",""
"ModeloLogicoInformePatologicoR2BO","ModeloLogicoInformePatologicoR2BO.gangliosLinfaticos","ModeloLogicoInformePatologicoR2BO.gangliosLinfaticos","","","",1,1,"","","Y","string {[]} {[]}
","En oncología, los ganglios linfáticos cercanos al tumor se examinan porque pueden contener células tumorales metastásicas. Este proceso de diseminación a los ganglios linfáticos es un factor clave en la estadificación del cáncer","En oncología, los ganglios linfáticos cercanos al tumor se examinan porque pueden contener células tumorales metastásicas. Este proceso de diseminación a los ganglios linfáticos es un factor clave en la estadificación del cáncer","","","","","","","","","",,,,,"",,,,"ModeloLogicoInformePatologicoR2BO.gangliosLinfaticos",1,1,"",""
